nome,genero,blood_status,profissao,casa,patrono,elemento_preferido,animal_preferido,cor,coragem,ambicao,inteligencia,lealdade,determinacao,justica,criatividade,coragem_moral,cautela,lealdade_a_amigos,competitividade,individualismo,cooperacao,fama_reconhecimento,pertencimento_comunidade,pensamento_analitico,intuicao,estrategia,impulsividade,autocontrole,empatia,etica,pragmatismo,lideranca,leitura_de_pessoas,persistencia,humildade,orgulho,busca_por_proposito_pessoal,identidade_forte
Tracey Lawrence,Não-Binário,Puro-Sangue,Curandeiro(a),Gryffindor,Águia,Fogo,Coruja,Dourado,9,5,5,7,9,8,10,7,1,7,8,1,6,5,8,9,1,2,8,9,1,6,3,5,1,9,1,10,6,7
Dr Harry Cox,Feminino,Mestiço,Jornalista,Gryffindor,Cervo,Ar,Furão,Vermelho,7,4,8,10,9,6,5,8,2,10,8,9,7,1,8,5,9,5,9,5,9,1,5,7,5,3,2,3,3,8
Dennis Chambers,Feminino,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Gryffindor,Doninha,Fogo,Coruja,Vermelho,9,7,8,9,6,4,7,9,1,10,8,1,7,10,6,1,10,2,7,7,6,9,1,9,10,7,9,9,9,3
Geoffrey Ferguson,Masculino,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Ravenclaw,Serpente,Água,Mini-pufe,Azul,5,4,9,8,6,4,7,5,8,4,9,6,6,6,3,8,10,6,3,6,6,10,6,4,8,7,10,6,9,5
Brandon Williamson,Masculino,Nascido-Trouxa,Medibruxo(a),Gryffindor,Cão,Fogo,Hipogrifo,Dourado,9,5,5,7,5,3,7,7,2,8,7,9,7,3,7,9,4,4,7,1,7,4,5,5,5,10,10,1,7,6
Connor Bell,Não-Binário,Puro-Sangue,Pocionista,Hufflepuff,Urso,Terra,Cachorro,Preto,5,5,8,8,5,8,4,8,10,9,3,4,7,5,7,1,9,7,6,3,10,7,4,6,6,6,10,6,4,10
Mrs Fiona Lewis,Feminino,Puro-Sangue,Funcionário(a) do Ministério,Slytherin,Lebre,Água,Fênix,Verde,4,8,2,7,7,4,9,2,9,3,8,8,5,6,5,3,9,9,8,7,3,9,7,9,5,4,2,9,7,2
Andrew Black-Watson,Não-Binário,Mestiço,Curandeiro(a),Slytherin,Cervo,Terra,Cachorro,Verde,5,10,7,7,7,2,1,9,2,6,9,8,2,7,7,6,10,9,9,7,3,4,8,8,4,5,2,8,4,2
Jemma Cook,Feminino,Nascido-Trouxa,Herbologista,Gryffindor,Indeterminado,Fogo,Aranha,Vermelho,8,6,6,2,6,7,1,9,1,6,4,5,10,1,3,10,2,2,9,5,9,4,2,5,10,4,9,10,6,4
Michael Ball,Feminino,Nascido-Trouxa,Medibruxo(a),Hufflepuff,Cão,Terra,Cachorro,Amarelo,7,4,2,8,9,9,7,2,3,8,2,4,9,8,9,2,7,4,3,4,9,10,10,7,6,10,9,3,9,8
Mrs Alison Hardy,Não-Binário,Puro-Sangue,Inominável,Hufflepuff,Lobo,Terra,Rato,Amarelo,6,5,5,9,7,10,8,9,9,10,5,6,7,6,9,2,10,5,4,8,8,8,2,4,4,10,9,6,8,4
Thomas Kelly,Não-Binário,Nascido-Trouxa,Herbologista,Hufflepuff,Gato,Fogo,Coruja,Amarelo,2,5,4,8,3,7,2,3,9,8,5,3,10,1,7,2,7,3,1,10,9,7,4,5,10,6,9,2,3,5
Jay Morton,Feminino,Nascido-Trouxa,Pesquisador(a),Gryffindor,Gato,Ar,Fênix,Dourado,9,7,5,8,8,9,8,9,1,9,5,3,10,7,2,10,1,4,8,2,10,7,1,6,4,6,10,7,7,9
Ryan Hawkins,Não-Binário,Mestiço,Jogador(a) de Quadribol,Ravenclaw,Lontra,Ar,Hipogrifo,Azul,3,2,10,1,8,1,7,8,9,8,10,8,3,6,4,8,10,9,4,4,5,6,9,10,6,2,1,4,7,6
Sam Smith,Não-Binário,Puro-Sangue,Jornalista,Hufflepuff,Doninha,Terra,Aranha,Amarelo,3,3,8,9,4,7,7,10,4,8,3,6,10,5,9,8,9,7,5,10,10,7,9,7,5,6,6,3,3,4
Bradley Gray,Masculino,Nascido-Trouxa,Professor(a),Gryffindor,Indeterminado,Fogo,Mini-pufe,Dourado,10,3,6,5,8,10,10,7,1,10,8,6,9,5,9,10,1,4,9,9,4,4,1,8,6,4,5,5,5,3
Tracey Davison,Não-Binário,Mestiço,Desempregado(a),Gryffindor,Urso,Ar,Serpente,Vermelho,8,3,8,8,9,8,6,7,2,10,4,8,5,7,3,2,2,4,8,9,7,3,1,8,6,7,1,7,8,8
Miss Kate Lambert,Não-Binário,Mestiço,Pocionista,Gryffindor,Cervo,Fogo,Serpente,Vermelho,9,4,4,4,5,9,8,7,4,7,5,7,7,9,9,1,2,2,8,1,4,6,2,7,9,3,10,1,1,6
Mr Daniel Hayes,Feminino,Nascido-Trouxa,Fabricante de Varinhas,Gryffindor,Fênix,Fogo,Mini-pufe,Vermelho,7,5,7,8,6,5,6,9,3,6,5,5,7,4,4,8,1,6,6,10,5,10,5,6,9,6,2,1,7,3
Jonathan Cole-Benson,Não-Binário,Mestiço,Fabricante de Varinhas,Hufflepuff,Cavalo,Terra,Fênix,Amarelo,7,2,10,10,8,8,1,8,8,9,4,2,7,1,9,6,6,3,9,6,9,8,5,7,4,10,6,2,6,1
Lynne Lewis,Não-Binário,Nascido-Trouxa,Herbologista,Ravenclaw,Cervo,Ar,Testrálio,Azul,6,1,10,2,5,8,10,2,9,5,2,7,6,6,3,10,10,9,5,3,4,6,4,5,8,1,1,7,10,7
Douglas Gibson,Não-Binário,Mestiço,Medibruxo(a),Gryffindor,Texugo,Fogo,Mini-pufe,Vermelho,7,7,5,5,8,5,2,7,4,8,4,4,1,2,10,9,8,5,7,10,10,9,1,5,8,1,3,9,8,2
Trevor Woodward,Não-Binário,Nascido-Trouxa,Curandeiro(a),Slytherin,Salmão,Terra,Fênix,Verde,9,9,5,6,8,5,7,10,5,2,8,9,5,9,2,6,4,9,6,6,2,8,6,8,2,8,3,9,10,9
Brandon Green-White,Feminino,Puro-Sangue,Membro da Suprema Corte,Gryffindor,Fênix,Fogo,Testrálio,Vermelho,7,6,8,4,8,2,7,8,1,7,8,9,10,1,1,2,7,3,7,5,10,1,2,6,5,5,2,4,4,2
Beverley Green-Burrows,Masculino,Nascido-Trouxa,Membro da Suprema Corte,Slytherin,Cão,Água,Sapo,Verde,7,10,1,3,8,4,8,10,8,10,10,10,4,9,4,4,6,10,5,9,2,4,8,8,3,6,2,9,3,1
Ms Jemma Jones,Masculino,Puro-Sangue,Medibruxo(a),Slytherin,Raposa,Água,Pomo,Verde,6,10,10,6,7,5,2,10,5,4,8,7,2,1,3,3,3,8,9,10,2,9,9,8,3,2,3,10,6,9
Mr Dylan Stokes,Não-Binário,Puro-Sangue,Pocionista,Gryffindor,Cervo,Fogo,Aranha,Vermelho,9,5,8,3,9,3,4,8,3,9,8,4,10,3,10,1,5,4,6,6,9,8,5,8,1,4,7,9,7,4
Gillian Barlow,Feminino,Nascido-Trouxa,Jogador(a) de Quadribol,Ravenclaw,Cisne,Ar,Coruja,Bronze,5,8,8,2,1,8,9,6,6,1,5,8,4,4,5,8,8,7,5,4,9,8,3,10,5,8,9,9,9,10
Jay Thomas,Masculino,Mestiço,Funcionário(a) do Ministério,Ravenclaw,Lebre,Água,Gato,Bronze,7,2,9,10,10,2,8,1,5,3,6,6,5,2,5,8,7,5,5,3,9,4,6,5,6,6,1,2,8,4
Alan Harrison,Feminino,Nascido-Trouxa,Funcionário(a) do Ministério,Slytherin,Gato,Água,Mini-pufe,Verde,5,8,5,3,10,4,5,5,5,10,8,9,6,8,7,5,5,10,8,9,1,1,9,7,9,2,3,8,3,4
Victoria Lamb,Feminino,Mestiço,Medibruxo(a),Hufflepuff,Gato,Fogo,Coruja,Preto,4,5,7,9,8,8,4,6,5,10,2,4,9,10,7,3,1,6,9,8,9,10,4,3,9,6,9,2,8,5
Chloe Murray,Não-Binário,Puro-Sangue,Jogador(a) de Quadribol,Gryffindor,Indeterminado,Fogo,Mini-pufe,Vermelho,10,6,4,2,7,4,4,7,2,10,7,10,7,10,10,2,6,3,8,10,9,4,3,6,3,3,9,6,3,4
Matthew Robinson,Feminino,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Hufflepuff,Cisne,Terra,Amasso (Kneazle),Amarelo,1,1,6,10,10,7,10,7,4,10,3,6,10,4,7,3,3,6,4,9,9,10,3,5,7,8,10,2,7,7
Dr Abdul Taylor,Masculino,Nascido-Trouxa,Pesquisador(a),Slytherin,Lontra,Terra,Coruja,Verde,9,9,4,4,10,4,3,10,7,7,8,8,5,6,8,7,4,9,7,10,4,3,9,7,1,2,1,7,8,6
Diane Robson,Não-Binário,Mestiço,Jogador(a) de Quadribol,Gryffindor,Lebre,Fogo,Coruja,Vermelho,8,7,4,10,6,6,5,8,1,7,5,8,8,7,1,5,4,3,8,1,5,1,4,9,6,1,6,2,3,4
Chloe Smith,Masculino,Puro-Sangue,Curandeiro(a),Hufflepuff,Indeterminado,Terra,Gato,Amarelo,9,1,3,9,9,7,7,2,10,10,4,6,9,9,9,3,2,6,5,5,9,9,10,5,7,7,10,2,5,10
Kenneth Porter-Brown,Masculino,Mestiço,Fabricante de Varinhas,Slytherin,Cão,Terra,Pomo,Verde,7,10,1,5,10,4,4,7,5,6,10,10,6,2,10,6,3,10,3,10,4,4,6,10,9,1,1,7,2,3
Kenneth Yates,Feminino,Nascido-Trouxa,Professor(a),Slytherin,Texugo,Terra,Amasso (Kneazle),Verde,9,10,4,4,10,4,9,1,10,9,8,7,4,7,5,9,6,8,6,8,2,4,6,7,7,2,1,8,5,4
Margaret James,Masculino,Nascido-Trouxa,Estudante,Slytherin,Fênix,Água,Coruja,Verde,8,8,10,5,10,2,4,5,6,4,8,10,2,2,4,3,1,7,5,6,1,10,8,7,2,6,3,8,8,6
Hugh Wong-Elliott,Masculino,Mestiço,Curandeiro(a),Hufflepuff,Doninha,Terra,Dragão (miniatura),Preto,10,2,2,9,9,10,2,6,1,8,2,2,9,2,8,2,2,4,3,1,10,10,3,6,4,6,10,5,4,10
Joyce Akhtar,Não-Binário,Mestiço,Fabricante de Varinhas,Hufflepuff,Lontra,Fogo,Coruja,Preto,9,1,4,10,2,7,4,9,8,8,5,5,9,9,9,8,10,3,7,9,10,7,6,6,6,9,8,5,9,8
Lindsey Thomas,Feminino,Puro-Sangue,Professor(a),Hufflepuff,Lobo,Fogo,Dragão (miniatura),Amarelo,1,4,2,9,8,7,5,2,9,9,1,2,9,6,7,5,2,6,6,1,8,7,3,3,1,8,6,4,5,8
Ms Joyce Davies,Feminino,Mestiço,Fabricante de Varinhas,Slytherin,Lontra,Água,Sapo,Prata,1,8,5,6,8,3,10,9,10,9,9,7,5,5,6,2,6,9,4,7,2,4,8,10,8,7,3,10,4,6
Kathleen Lawson,Feminino,Nascido-Trouxa,Pocionista,Ravenclaw,Serpente,Ar,Pomo,Azul,3,3,9,5,6,7,8,2,8,9,4,7,5,4,3,10,7,5,5,4,2,8,3,7,5,3,5,10,8,2
Eileen Hill,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Hufflepuff,Fênix,Terra,Testrálio,Amarelo,10,3,9,9,10,8,9,9,8,10,1,2,7,7,10,1,6,6,5,2,10,8,1,7,10,7,9,6,1,8
Lucy Foster-Fisher,Masculino,Puro-Sangue,Jornalista,Slytherin,Lontra,Água,Amasso (Kneazle),Verde,9,9,3,7,10,4,5,8,8,9,10,8,2,9,9,3,6,10,2,7,1,10,10,8,3,2,1,8,7,4
Ms Maria Bull,Masculino,Nascido-Trouxa,Pesquisador(a),Hufflepuff,Doninha,Terra,Cachorro,Preto,9,4,4,9,4,9,4,4,5,10,5,2,7,2,7,4,9,5,4,6,10,9,4,6,3,6,9,2,3,6
Dr Susan Davidson,Feminino,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Hufflepuff,Doninha,Terra,Serpente,Amarelo,7,3,6,8,10,8,4,8,8,10,4,4,10,4,7,9,8,6,5,2,9,8,8,6,9,9,8,4,9,9
Gareth Price,Não-Binário,Puro-Sangue,Pocionista,Gryffindor,Serpente,Fogo,Cachorro,Dourado,10,6,6,4,5,10,3,7,1,7,4,4,5,9,2,1,5,4,10,5,8,4,2,7,8,5,3,8,6,3
Alex Roberts,Masculino,Nascido-Trouxa,Jornalista,Slytherin,Lebre,Água,Fênix,Verde,8,10,6,3,10,3,2,9,6,1,9,9,3,7,10,8,6,7,10,6,4,1,6,8,1,7,2,9,3,9
Miss Hazel Williams,Masculino,Puro-Sangue,Funcionário(a) do Ministério,Gryffindor,Cisne,Fogo,Cachorro,Vermelho,7,6,7,1,7,7,7,8,3,8,5,3,2,5,5,5,6,5,7,5,9,8,2,9,1,2,6,3,2,2
Lindsey Hunt,Não-Binário,Mestiço,Jornalista,Ravenclaw,Fênix,Ar,Rato,Azul,4,2,8,6,2,2,7,1,9,8,5,8,3,5,6,8,9,6,2,7,6,1,9,10,8,1,10,8,8,6
Debra Francis,Feminino,Puro-Sangue,Herbologista,Hufflepuff,Gato,Terra,Serpente,Preto,3,3,6,9,9,7,1,1,8,8,2,2,7,2,7,8,10,5,2,5,8,9,3,6,1,10,6,6,3,5
Mrs Ruth Black,Não-Binário,Nascido-Trouxa,Jogador(a) de Quadribol,Hufflepuff,Cisne,Fogo,Aranha,Amarelo,9,2,10,10,3,7,5,8,7,9,5,3,9,9,8,2,3,6,5,2,8,8,2,6,2,8,9,2,10,1
Dorothy Bryant-Phillips,Feminino,Nascido-Trouxa,Curandeiro(a),Gryffindor,Indeterminado,Ar,Cachorro,Vermelho,9,5,7,9,9,4,7,8,4,7,4,4,3,1,4,2,3,2,9,5,8,10,5,5,4,8,9,1,7,1
Tracey Smith,Masculino,Puro-Sangue,Membro da Suprema Corte,Ravenclaw,Fênix,Ar,Rato,Azul,6,10,10,7,8,3,8,3,7,9,9,7,3,6,5,10,9,8,2,9,9,1,3,9,7,2,9,8,10,3
Laura Smith,Não-Binário,Nascido-Trouxa,Auror,Hufflepuff,Indeterminado,Terra,Hipogrifo,Amarelo,5,4,2,9,1,9,7,5,6,8,3,3,7,2,8,6,2,3,6,8,8,8,3,7,10,9,8,2,9,1
Karl Lord,Masculino,Nascido-Trouxa,Medibruxo(a),Gryffindor,Urso,Fogo,Amasso (Kneazle),Dourado,8,7,4,9,6,1,4,7,2,8,7,7,3,7,4,3,4,6,10,9,10,4,5,5,4,1,6,10,1,6
Josh Howe,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Gryffindor,Cão,Fogo,Mini-pufe,Dourado,10,7,4,5,6,1,6,10,2,7,5,10,3,4,2,9,7,4,10,6,9,3,3,8,3,1,2,6,1,7
Ms Hilary Baker,Masculino,Nascido-Trouxa,Professor(a),Hufflepuff,Fênix,Fogo,Cachorro,Amarelo,5,3,4,10,8,7,10,10,7,10,1,2,10,4,8,6,10,7,7,8,8,7,8,7,6,8,7,3,4,5
Henry Poole-Webb,Feminino,Mestiço,Inominável,Gryffindor,Lobo,Fogo,Amasso (Kneazle),Vermelho,9,6,4,10,6,8,9,7,4,8,6,5,6,10,2,4,7,5,7,8,8,2,1,6,7,5,7,1,10,8
Mrs Nicole Cooper,Não-Binário,Puro-Sangue,Herbologista,Hufflepuff,Raposa,Terra,Rato,Amarelo,8,3,5,8,7,10,6,1,10,8,1,2,8,7,8,8,5,6,3,2,10,7,3,3,4,8,10,6,1,5
Mrs Fiona Turner,Feminino,Nascido-Trouxa,Jogador(a) de Quadribol,Gryffindor,Lebre,Fogo,Pomo,Dourado,10,4,6,7,9,6,6,9,1,10,7,10,1,3,7,4,7,6,7,8,7,7,2,5,1,4,3,6,1,5
Scott Clarke,Feminino,Mestiço,Pocionista,Slytherin,Serpente,Terra,Cachorro,Verde,10,8,2,5,8,5,2,5,7,5,9,10,4,2,7,6,2,9,7,6,1,7,10,6,3,10,2,8,5,1
Dr Maria Williams,Masculino,Mestiço,Tratador(a) de Criaturas Mágicas,Hufflepuff,Cisne,Terra,Pomo,Preto,3,3,10,10,1,9,7,7,1,10,5,4,9,6,7,4,2,7,8,7,9,7,1,6,8,6,8,5,2,10
Teresa Reed,Não-Binário,Nascido-Trouxa,Desempregado(a),Ravenclaw,Fênix,Água,Hipogrifo,Azul,3,3,8,9,3,5,8,4,8,6,2,7,6,2,6,8,6,7,3,7,7,3,8,2,7,2,3,6,9,1
Peter Rahman,Não-Binário,Mestiço,Jornalista,Gryffindor,Lontra,Fogo,Serpente,Dourado,9,7,4,3,8,2,5,8,2,10,4,8,1,8,6,10,8,5,10,8,1,7,4,9,8,5,7,9,4,1
Dale Power,Masculino,Nascido-Trouxa,Estudante,Slytherin,Cavalo,Água,Fênix,Verde,2,9,7,7,7,2,9,9,8,6,10,7,2,5,7,1,2,7,3,6,2,3,6,10,5,5,2,9,8,7
Sylvia Potts,Não-Binário,Mestiço,Pocionista,Hufflepuff,Águia,Terra,Sapo,Amarelo,10,2,10,9,10,7,6,9,3,9,3,5,7,9,8,2,2,6,6,10,9,7,6,4,2,7,8,6,10,8
Anna Hopkins,Masculino,Nascido-Trouxa,Professor(a),Ravenclaw,Doninha,Ar,Testrálio,Azul,7,5,10,4,3,9,9,4,8,4,10,9,5,6,2,8,7,7,1,5,5,9,9,8,6,8,3,3,9,2
Lawrence Knight,Masculino,Mestiço,Fabricante de Varinhas,Ravenclaw,Serpente,Ar,Gato,Bronze,3,6,8,3,7,2,7,8,9,2,8,9,7,7,3,10,8,8,5,1,7,1,9,7,6,5,7,10,8,7
Teresa Rahman,Feminino,Nascido-Trouxa,Estudante,Gryffindor,Cavalo,Fogo,Dragão (miniatura),Dourado,7,3,5,10,6,2,7,10,1,6,5,6,6,1,4,6,4,5,7,7,1,1,2,7,9,1,2,2,5,4
Ms Patricia Morris,Masculino,Mestiço,Medibruxo(a),Gryffindor,Doninha,Fogo,Serpente,Vermelho,7,3,4,2,6,1,2,8,2,10,4,4,9,1,4,2,2,2,8,8,2,6,1,9,2,6,5,2,2,1
Marie Dodd,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Gryffindor,Águia,Fogo,Sapo,Vermelho,7,6,7,8,5,8,2,8,4,10,7,5,2,1,1,2,4,3,6,10,9,9,2,9,1,3,2,8,8,1
Victoria Brown-Watkins,Feminino,Mestiço,Membro da Suprema Corte,Hufflepuff,Cavalo,Fogo,Furão,Amarelo,2,1,7,9,9,9,6,1,8,9,4,4,8,9,9,9,1,5,8,5,8,10,5,4,6,8,8,4,2,5
Ms Gemma Walters,Feminino,Nascido-Trouxa,Pocionista,Slytherin,Cervo,Água,Dragão (miniatura),Prata,2,9,8,5,10,3,1,10,7,7,9,9,3,7,3,5,5,7,5,8,1,9,7,10,8,6,2,8,6,3
Mr Karl Green,Não-Binário,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Ravenclaw,Gato,Ar,Dragão (miniatura),Azul,7,4,10,8,7,8,10,2,8,10,2,6,3,4,4,8,6,6,2,4,2,10,6,4,9,7,7,7,7,10
Lydia Thomas,Feminino,Puro-Sangue,Auror,Hufflepuff,Lebre,Terra,Testrálio,Preto,1,2,5,8,3,10,3,8,4,9,2,4,9,5,10,8,4,3,6,7,9,7,2,7,10,10,8,6,1,2
Susan Hodgson,Masculino,Nascido-Trouxa,Professor(a),Hufflepuff,Indeterminado,Terra,Coruja,Amarelo,1,2,2,8,5,9,9,8,1,10,4,3,10,5,7,6,7,7,9,4,10,8,10,6,9,7,6,5,10,3
Dr Connor Watson,Masculino,Puro-Sangue,Curandeiro(a),Ravenclaw,Urso,Água,Aranha,Azul,4,5,8,7,8,4,8,3,7,7,8,6,6,10,4,10,7,6,1,3,1,6,4,8,5,4,5,6,7,4
Ms Melissa Hutchinson,Feminino,Nascido-Trouxa,Lojista,Ravenclaw,Cão,Água,Dragão (miniatura),Bronze,6,10,8,1,9,4,9,7,9,5,9,8,3,9,5,10,7,9,4,6,9,2,4,4,8,1,6,7,9,6
Oliver Smith,Não-Binário,Nascido-Trouxa,Desempregado(a),Gryffindor,Cisne,Fogo,Sapo,Vermelho,10,7,8,1,8,7,4,8,2,6,4,5,3,9,6,5,5,2,10,6,4,6,1,6,1,10,4,2,5,6
Julie Robson,Masculino,Mestiço,Lojista,Hufflepuff,Doninha,Terra,Dragão (miniatura),Amarelo,8,5,10,10,2,9,1,2,4,8,2,2,8,7,8,10,3,3,9,3,10,7,4,6,3,6,9,6,2,8
Anthony Poole,Não-Binário,Mestiço,Medibruxo(a),Ravenclaw,Gato,Ar,Sapo,Bronze,5,8,8,7,7,8,8,10,5,5,6,7,6,7,4,10,7,5,2,5,7,6,3,6,8,8,5,4,8,10
Mitchell Booth-Burgess,Masculino,Puro-Sangue,Pocionista,Ravenclaw,Salmão,Ar,Sapo,Azul,5,5,9,7,7,4,7,1,6,5,10,9,6,5,3,10,9,5,3,4,10,9,2,1,8,5,3,8,10,2
Claire Buckley,Masculino,Mestiço,Desempregado(a),Gryffindor,Urso,Fogo,Mini-pufe,Vermelho,8,5,5,1,9,9,7,10,4,9,8,2,2,6,2,6,6,4,9,7,3,10,3,9,2,8,1,9,5,8
Lynn Hill,Feminino,Mestiço,Lojista,Gryffindor,Cisne,Fogo,Serpente,Vermelho,8,6,6,5,6,4,1,9,2,8,8,5,5,2,6,4,10,5,6,7,6,7,1,7,10,6,9,8,2,4
Jonathan Lewis,Não-Binário,Nascido-Trouxa,Auror,Slytherin,Indeterminado,Água,Coruja,Prata,1,10,1,3,7,5,8,5,2,3,10,10,2,10,3,2,9,9,1,7,1,8,7,6,2,7,3,7,7,8
Stephanie Barrett,Feminino,Puro-Sangue,Estudante,Gryffindor,Texugo,Fogo,Furão,Vermelho,8,5,4,8,9,5,3,9,1,10,8,2,5,3,10,8,7,3,10,1,6,8,2,8,5,9,8,8,7,10
Mrs Carole Reynolds,Masculino,Mestiço,Herbologista,Slytherin,Serpente,Água,Testrálio,Verde,10,9,9,3,9,3,1,9,7,1,10,7,2,4,4,7,5,10,10,6,3,9,9,6,2,8,3,10,8,4
Martin Barker-Kaur,Feminino,Mestiço,Lojista,Hufflepuff,Salmão,Terra,Cachorro,Amarelo,3,4,10,10,2,8,8,9,4,10,3,5,10,7,7,5,8,7,4,7,9,9,2,4,3,7,6,5,7,3
Dr Nicole Francis,Masculino,Nascido-Trouxa,Curandeiro(a),Gryffindor,Cavalo,Ar,Fênix,Vermelho,7,4,4,3,5,2,5,9,2,8,5,1,2,5,8,9,7,6,8,1,8,9,3,6,2,9,6,1,6,6
Jacob Hill,Não-Binário,Puro-Sangue,Funcionário(a) do Ministério,Hufflepuff,Indeterminado,Terra,Pomo,Amarelo,6,4,9,8,3,9,2,5,3,9,2,2,9,2,10,1,7,6,1,5,8,10,2,3,4,6,9,2,6,9
Sophie Greenwood,Feminino,Nascido-Trouxa,Curandeiro(a),Ravenclaw,Raposa,Ar,Cachorro,Azul,6,5,8,1,8,1,10,10,7,7,5,6,6,6,6,8,8,9,4,1,1,4,6,9,9,9,4,7,9,8
Kirsty Morton,Feminino,Puro-Sangue,Jornalista,Ravenclaw,Águia,Ar,Fênix,Azul,6,8,10,9,2,8,8,3,6,3,6,9,6,10,5,8,8,5,5,7,2,4,2,6,6,1,9,9,10,4
Mr Clive Gardner,Masculino,Mestiço,Desempregado(a),Hufflepuff,Cervo,Terra,Hipogrifo,Amarelo,6,5,1,9,6,10,7,2,9,9,2,3,8,6,9,2,2,7,3,7,9,10,7,3,7,10,6,3,2,5
Jordan Lawrence,Masculino,Puro-Sangue,Desempregado(a),Ravenclaw,Urso,Ar,Dragão (miniatura),Bronze,7,3,8,6,1,7,9,3,5,2,3,7,3,1,3,8,8,6,2,7,5,3,4,8,7,2,1,3,10,10
Adam Doherty-Moss,Não-Binário,Nascido-Trouxa,Jornalista,Hufflepuff,Raposa,Terra,Serpente,Amarelo,8,1,10,8,4,8,9,7,2,10,2,5,10,9,9,10,2,5,3,3,9,10,8,4,6,9,9,2,4,2
Robin White-Hudson,Masculino,Nascido-Trouxa,Pocionista,Ravenclaw,Cavalo,Ar,Sapo,Bronze,4,5,9,7,1,9,7,3,5,5,7,7,4,9,2,10,8,6,4,4,3,7,3,8,8,5,9,2,10,5
Harriet Thompson,Não-Binário,Nascido-Trouxa,Fabricante de Varinhas,Hufflepuff,Águia,Terra,Amasso (Kneazle),Amarelo,10,5,3,8,7,8,10,10,9,9,2,2,8,3,9,3,6,5,3,8,9,7,9,6,6,9,10,5,7,5
Leah Barton-Thompson,Feminino,Puro-Sangue,Inominável,Gryffindor,Cão,Ar,Hipogrifo,Vermelho,8,5,8,6,9,7,7,7,1,6,6,4,6,8,5,1,8,6,9,9,3,9,1,8,9,1,3,3,5,2
Jamie Hanson,Feminino,Nascido-Trouxa,Inominável,Hufflepuff,Cavalo,Terra,Fênix,Amarelo,1,3,4,8,2,7,10,1,3,8,1,3,7,8,7,5,5,3,9,10,8,9,4,5,1,9,6,5,8,8
Ellie Hall,Não-Binário,Mestiço,Pesquisador(a),Slytherin,Cervo,Água,Pomo,Verde,2,8,10,6,9,4,7,8,5,1,9,9,4,5,6,7,7,7,1,9,3,2,9,8,7,7,1,10,10,6
Mr Carl Stone,Feminino,Mestiço,Desempregado(a),Ravenclaw,Fênix,Ar,Furão,Azul,7,5,8,4,7,10,8,2,5,3,2,7,6,1,2,8,7,8,2,9,6,9,6,7,7,9,8,8,8,3
Anthony Roberts,Não-Binário,Mestiço,Auror,Hufflepuff,Raposa,Terra,Coruja,Amarelo,10,2,7,9,9,9,8,9,1,10,2,5,7,10,7,3,7,3,7,5,8,9,10,6,7,7,6,4,1,8
Karen Tucker,Feminino,Mestiço,Inominável,Slytherin,Lontra,Terra,Testrálio,Verde,6,8,6,3,10,3,10,10,8,8,10,10,4,7,10,10,6,9,7,9,2,6,10,6,3,2,3,7,1,9
Deborah Gibbons,Feminino,Nascido-Trouxa,Fabricante de Varinhas,Gryffindor,Lebre,Fogo,Coruja,Dourado,8,7,4,6,6,9,6,7,1,10,4,7,7,10,4,4,9,5,6,9,10,6,5,6,4,3,8,4,10,6
Miss Hayley Owen,Feminino,Puro-Sangue,Pocionista,Hufflepuff,Indeterminado,Terra,Pomo,Amarelo,5,5,9,10,5,9,3,4,2,9,2,3,10,10,10,2,7,7,6,5,8,7,9,7,3,10,8,2,8,3
Marilyn Newman,Masculino,Mestiço,Membro da Suprema Corte,Ravenclaw,Cão,Água,Aranha,Azul,7,5,9,6,3,4,8,1,9,10,8,8,6,10,4,9,6,7,2,4,4,10,10,7,6,3,8,7,7,5
Peter Clark,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Hufflepuff,Lontra,Fogo,Pomo,Preto,6,4,8,8,1,8,10,8,3,9,3,5,9,4,8,7,3,7,4,10,8,7,5,3,1,10,7,2,2,7
Roy Baxter,Feminino,Mestiço,Membro da Suprema Corte,Ravenclaw,Cisne,Água,Coruja,Azul,4,4,9,6,8,10,7,8,9,9,6,6,4,2,3,10,8,6,4,6,1,7,1,3,5,6,8,7,8,6
Philip Walker,Não-Binário,Puro-Sangue,Pocionista,Hufflepuff,Doninha,Terra,Furão,Preto,5,1,4,8,1,7,9,6,7,8,1,3,10,5,7,5,7,4,4,6,8,9,1,5,7,6,9,6,7,3
Natalie Herbert,Feminino,Mestiço,Inominável,Ravenclaw,Lobo,Ar,Amasso (Kneazle),Azul,7,6,10,6,7,3,10,8,8,3,9,6,3,6,6,10,9,7,2,7,6,10,5,1,5,7,7,6,9,3
Jayne Daniels,Feminino,Mestiço,Fabricante de Varinhas,Slytherin,Lontra,Água,Sapo,Prata,5,8,2,6,8,3,3,1,6,8,8,10,4,1,3,2,8,8,9,8,4,4,9,8,3,4,1,10,7,8
